Month,Day,Hour,H,L,N,T,W,WD,WS,SpeedLimit,near_accident
1,1,0,73.93,0.09999999999999999,83.96,1.3766666666666667,0.0,33.5,1.0,70.0,0
1,1,1,82.03,0.17333333333333334,81.93,-1.3,0.0,5.0,46.5,60.0,1
1,1,2,73.19,0.13,81.98,-1.68,0.0,95.0,0.0,70.0,1
1,1,3,85.24,0.18333333333333335,83.9,-1.376666666666667,0.0,0.0,3.5,60.0,0
1,1,4,85.0,0.19666666666666668,84.83,-1.7733333333333332,0.0,61.5,35.0,50.0,1
1,1,5,81.18,0.15,84.83,-3.766666666666667,0.0,97.5,67.5,50.0,1
1,1,6,86.48,0.023333333333333334,88.4,-2.9133333333333336,0.0,7.5,48.0,60.0,0
1,1,7,81.67,9929.916666666666,91.92,-2.0233333333333334,0.0,0.0,81.5,80.0,1
1,1,8,73.91,16537.203333333335,92.02,-3.1133333333333333,0.0,7.5,81.5,80.0,1
1,1,9,73.74,52512.386666666665,91.1,-3.6733333333333333,0.0,135.0,107.0,60.0,1
1,1,10,71.9,86551.84666666666,91.9,-3.076666666666666,0.0,96.0,60.0,80.0,1
1,1,11,81.79,99187.26666666666,90.08,-1.5599999999999998,0.0,40.5,87.0,80.0,1
1,1,12,73.78,110552.07,88.7,0.2399999999999999,0.0,0.5,67.5,80.0,1
1,1,13,86.04,100576.37333333334,88.62,0.6533333333333333,0.0,15.5,101.5,80.0,1
1,1,14,75.59,78176.11666666667,90.74,3.2099999999999995,0.0,57.0,41.5,80.0,1
1,1,15,78.97,48260.02666666667,92.25,3.566666666666667,0.0,105.0,70.5,80.0,0
1,1,16,71.43,49993.909999999996,92.25,5.216666666666667,0.0,63.0,17.0,60.0,1
1,1,17,74.22,20802.89,94.1,6.033333333333334,0.0,90.0,0.0,80.0,1
1,1,18,84.84,0.0,93.04,4.909999999999999,0.0,9.0,0.0,60.0,1
1,1,19,83.74,0.01,91.6,3.16,1160.66,1.5,0.0,40.0,1
1,1,20,89.75,0.18000000000000002,89.68,4.216666666666667,1452.2766666666666,7.5,0.0,60.0,1
1,1,21,82.38,0.11333333333333333,87.74,4.006666666666667,255.51333333333332,4.5,3.5,70.0,0
1,1,22,84.08,0.12333333333333334,87.1,4.926666666666667,1095.6433333333334,0.0,0.0,60.0,1
1,1,23,93.76,0.11,82.82,4.920000000000001,1523.5233333333333,84.0,0.0,60.0,1
1,2,0,77.46,0.03,84.73,4.82,0.0,34.0,0.0,60.0,0
1,2,1,84.95,0.02,84.26,5.166666666666667,0.0,0.0,25.5,50.0,1
1,2,2,83.41,0.02,84.54,2.94,0.0,51.0,59.0,70.0,0
1,2,3,83.0,0.08,83.34,2.876666666666667,763.1033333333334,91.0,28.0,60.0,0
1,2,4,87.52,0.18666666666666668,86.06,2.56,838.3533333333334,0.0,0.0,50.0,1
1,2,5,86.87,0.10333333333333333,89.29,4.923333333333333,340.55333333333334,0.0,4.5,60.0,0
1,2,6,72.31,0.12333333333333334,96.77,7.72,0.0,0.0,0.0,50.0,1
1,2,7,71.67,8289.9,105.25,10.093333333333334,0.0,90.5,0.0,80.0,1
1,2,8,79.87,17024.09,105.05,8.33,0.0,0.0,5.5,80.0,1
1,2,9,71.74,52503.22666666666,104.4,8.216666666666667,0.0,5.0,3.5,80.0,1
1,2,10,85.19,65410.07,101.07,7.006666666666667,0.0,34.5,23.0,80.0,0
1,2,11,74.99,102772.89666666667,101.75,7.579999999999999,0.0,73.5,4.0,80.0,1
1,2,12,83.55,111796.77666666667,104.94,10.106666666666667,0.0,5.0,3.5,80.0,1
1,2,13,84.93,100392.3,105.94,12.663333333333334,0.0,0.0,0.0,80.0,0
1,2,14,82.56,103584.07333333335,104.51,14.87,0.0,44.0,0.0,80.0,0
1,2,15,75.76,57063.65333333333,104.39,15.116666666666667,0.0,6.0,0.5,80.0,1
1,2,16,73.27,59735.75,100.21,14.89,0.0,0.0,0.0,80.0,1
1,2,17,74.91,24244.7,99.89,12.49,0.0,0.0,6.5,80.0,1
1,2,18,75.05,0.13333333333333333,96.5,10.546666666666667,0.0,0.0,6.5,60.0,1
1,2,19,79.89,0.12333333333333334,96.34,10.276666666666666,0.0,0.0,0.0,60.0,1
1,2,20,85.93,0.12666666666666668,98.14,9.653333333333334,0.0,0.0,2.5,50.0,0
1,2,21,76.0,0.15666666666666665,93.29,6.666666666666667,0.0,0.0,15.5,60.0,0
1,2,22,83.91,0.08333333333333333,92.48,3.1833333333333336,0.0,64.0,0.0,60.0,0
1,2,23,75.86,0.21333333333333335,86.87,0.06000000000000005,0.0,18.0,6.5,70.0,0
1,3,0,86.09,0.17333333333333334,87.89,-1.5733333333333333,0.0,43.0,31.5,50.0,0
1,3,1,73.94,0.08666666666666667,83.09,-2.0466666666666664,0.0,120.0,4.5,60.0,1
1,3,2,84.36,0.03,83.54,-4.13,0.0,7.0,0.0,70.0,1
1,3,3,72.08,0.09666666666666668,84.72,-5.6000000000000005,0.0,27.5,1.5,70.0,1
1,3,4,77.14,0.10666666666666667,85.82,-5.773333333333333,0.0,5.0,3.5,70.0,1
1,3,5,88.09,0.16,87.92,-5.373333333333332,244.85999999999999,3.5,27.0,70.0,1
1,3,6,83.04,0.19666666666666668,88.35,-4.406666666666666,889.2033333333334,2.0,51.5,70.0,0
1,3,7,100.0,2846.8333333333335,90.96,-2.41,1774.4133333333332,92.5,0.0,60.0,1
1,3,8,79.61,5862.849999999999,94.66,-0.7899999999999997,82.09,0.0,3.0,80.0,0
